Crash ID,State,YYYYMM,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road User,Gender,Age,Speed,Driving experience,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day
20212046,Vic,202109,Sunday,14:20:00,Multiple,,,,Pedal cyclist,Male,52,30,28,Major Cities of Australia,Melbourne - West,Hobsons Bay (C),Sub-Arterial Road,No,No,40_to_64,Day
20215005,WA,202109,Thursday,6:23:00,Multiple,No,No,No,Car driver,Male,61,112,28,,,,,No,No,40_to_64,Day
20211011,NSW,202109,Saturday,6:00:00,Single,No,No,No,Car driver,Male,19,117,2,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,17_to_25,Day
20212039,Vic,202109,Saturday,9:45:00,Single,,,,Car driver,Male,20,124,4,Inner Regional Australia,Bendigo,Greater Bendigo (C),Arterial Road,No,No,17_to_25,Day
20211094,NSW,202109,Saturday,14:50:00,Single,No,No,No,Motorcycle rider,Male,36,138,14,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,No,No,26_to_39,Day
20217011,NT,202109,Sunday,8:25:00,Multiple,No,No,No,Motorcycle rider,Male,71,107,45,Outer Regional Australia,Darwin,Darwin (C),Collector Road,No,No,65_to_74,Day
20215094,WA,202109,Thursday,22:01:00,Single,No,No,No,Car passenger,Male,15,0,3,,,,,No,No,0_to_16,Night
20213099,Qld,202109,Saturday,11:00:00,Single,No,No,No,Motorcycle rider,Male,24,94,7,Major Cities of Australia,Moreton Bay - North,Moreton Bay (R),Access Road,No,No,17_to_25,Day
20213016,Qld,202109,Sunday,11:00:00,Multiple,No,No,No,Car driver,Male,19,100,4,Inner Regional Australia,Logan - Beaudesert,Logan (C),National or State Highway,No,No,17_to_25,Day
20215088,WA,202109,Sunday,16:09:00,Multiple,No,No,No,Motorcycle pillion Car passenger,Female,27,0,8,,,,,No,No,26_to_39,Day
20214037,SA,202109,Saturday,13:00:00,Single,No,No,No,Motorcycle rider,Male,31,103,12,Inner Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys (DC),National or State Highway,No,No,26_to_39,Day
20211158,NSW,202109,Sunday,16:00:00,Multiple,No,No,Yes,Car driver,Female,86,72,44,Outer Regional Australia,New England and North West,Liverpool Plains,Local Road,No,No,75_or_older,Day
20211034,NSW,202109,Thursday,11:50:00,Single,No,No,No,Motorcycle rider,Male,37,63,14,Inner Regional Australia,New England and North West,Tamworth Regional,Local Road,No,No,26_to_39,Day
20215064,WA,202109,Thursday,13:16:00,Single,No,No,No,Car driver,Male,49,118,14,,,,,No,No,40_to_64,Day
20215017,WA,202109,Friday,11:16:00,Single,No,No,No,Car passenger,Female,58,0,27,,,,,No,No,40_to_64,Day
20212152,Vic,202109,Saturday,23:55:00,Single,,,,Car passenger,Female,22,0,5,Major Cities of Australia,Melbourne - North West,Melton (C),Sub-Arterial Road,No,No,17_to_25,Night
20218008,ACT,202109,Wednesday,11:20:00,Multiple,No,No,No,Car driver,Male,45,39,12,,,,,No,No,40_to_64,Day
20212073,Vic,202109,Tuesday,12:30:00,Multiple,,,,Car passenger,Female,42,20,14,Outer Regional Australia,North West,Horsham (RC),National or State Highway,No,No,40_to_64,Day
20213187,Qld,202109,Wednesday,7:00:00,Multiple,No,Yes,Yes,Car driver,Male,-999,59,40,Major Cities of Australia,Brisbane - North,Brisbane (C),Sub-Arterial Road,No,No,40_to_64,Day
20211104,NSW,202109,Tuesday,8:00:00,Single,No,No,No,Car driver,Male,64,88,27,Inner Regional Australia,Richmond - Tweed,Kyogle,Sub-Arterial Road,No,No,40_to_64,Day
20212092,Vic,202109,Thursday,8:40:00,Single,,,,Car driver,Male,51,37,28,Inner Regional Australia,Melbourne - South East,Cardinia (S),Sub-Arterial Road,No,No,40_to_64,Day
20213124,Qld,202109,Thursday,9:00:00,Single,No,No,No,Car driver,Male,34,126,12,Inner Regional Australia,Toowoomba,Lockyer Valley (R),National or State Highway,No,No,26_to_39,Day
20212033,Vic,202109,Tuesday,14:45:00,Multiple,,,,Pedal cyclist,Male,62,30,27,Inner Regional Australia,Warrnambool and South West,Warrnambool (C),Sub-Arterial Road,No,No,40_to_64,Day
20215109,WA,202109,Thursday,9:48:00,Multiple,No,No,No,Pedestrian,Female,83,0,44,,,,,No,No,75_or_older,Day
20211040,NSW,202109,Thursday,17:00:00,Single,No,No,No,Car driver,Male,20,93,62,Outer Regional Australia,New England and North West,Narrabri,Sub-Arterial Road,No,No,40_to_64,Day
20215027,WA,202109,Wednesday,11:22:00,Multiple,No,No,No,Car passenger,Female,23,0,4,,,,,No,No,17_to_25,Day
20213183,Qld,202109,Wednesday,15:00:00,Single,No,No,No,Motorcycle rider,Male,34,102,14,Major Cities of Australia,Brisbane - North,Brisbane (C),Sub-Arterial Road,No,No,26_to_39,Day
20214055,SA,202109,Wednesday,11:33:00,Single,No,No,No,Motorcycle rider,Male,74,81,42,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Arterial Road,No,No,65_to_74,Day
20214007,SA,202109,Wednesday,8:06:00,Multiple,No,Yes,No,Pedal cyclist,Female,70,30,28,Major Cities of Australia,Adelaide - West,West Torrens (C),Collector Road,No,No,65_to_74,Day
20215008,WA,202109,Wednesday,15:33:00,Multiple,No,Yes,No,Car passenger,Female,66,0,27,,,,,No,No,65_to_74,Day
20212073,Vic,202109,Tuesday,12:30:00,Multiple,,,,Car driver,Female,71,114,42,Outer Regional Australia,North West,Horsham (RC),National or State Highway,No,No,65_to_74,Day
20215054,WA,202109,Wednesday,14:46:00,Single,No,No,No,Car passenger,Male,72,0,43,,,,,No,No,65_to_74,Day
20215054,WA,202109,Wednesday,14:46:00,Single,No,No,No,Car passenger,Male,72,0,43,,,,,No,No,65_to_74,Day
20213066,Qld,202109,Thursday,19:00:00,Single,No,No,No,Car driver,Female,32,95,14,Remote Australia,Mackay - Isaac - Whitsunday,Isaac (R),Local Road,No,No,26_to_39,Night
20211137,NSW,202109,Friday,14:30:00,Multiple,No,No,No,Pedal cyclist,Male,68,30,26,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,65_to_74,Day
20216016,Tas,202109,Monday,17:55:00,Single,No,No,No,Car driver,Male,68,115,27,Outer Regional Australia,West and North West,Waratah/Wynyard (M),National or State Highway,No,No,65_to_74,Day
20213066,Qld,202109,Thursday,19:00:00,Single,No,No,No,Car driver,Female,32,95,14,Remote Australia,Mackay - Isaac - Whitsunday,Isaac (R),Local Road,No,No,26_to_39,Night
20211137,NSW,202109,Friday,14:30:00,Multiple,No,No,No,Pedal cyclist,Male,68,30,26,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,65_to_74,Day
20216016,Tas,202109,Monday,17:55:00,Single,No,No,No,Car driver,Male,68,115,27,Outer Regional Australia,West and North West,Waratah/Wynyard (M),National or State Highway,No,No,65_to_74,Day
20212156,Vic,202109,Thursday,16:40:00,Single,,,,Car driver,Male,69,121,26,Major Cities of Australia,Melbourne - South East,Casey (C),Collector Road,No,No,65_to_74,Day
20212013,Vic,202109,Friday,15:10:00,Multiple,,,,Pedal cyclist,Male,78,30,43,Major Cities of Australia,Melbourne - North West,Moonee Valley (C),Collector Road,No,No,75_or_older,Day
20211068,NSW,202109,Tuesday,21:50:00,Single,No,No,No,Car passenger,Female,6,0,5,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,0_to_16,Night
20215111,WA,202109,Thursday,14:30:00,Single,No,No,No,Motorcycle rider,Male,76,70,44,,,,,No,No,75_or_older,Day
20216003,Tas,202109,Thursday,13:40:00,Single,No,No,No,Car driver,Female,84,113,45,Outer Regional Australia,West and North West,Central Coast (M) (Tas.),Local Road,No,No,75_or_older,Day
20212098,Vic,202109,Thursday,5:45:00,Single,,,,Motorcycle rider,Male,50,72,12,Major Cities of Australia,Melbourne - North East,Nillumbik (S),Arterial Road,No,No,40_to_64,Night
20212015,Vic,202109,Thursday,19:33:00,Multiple,,,,Other vehicle driver,Male,15,98,4,Major Cities of Australia,Melbourne - West,Wyndham (C),Sub-Arterial Road,No,No,0_to_16,Night
20212015,Vic,202109,Thursday,19:33:00,Multiple,,,,Other vehicle driver,Male,16,99,2,Major Cities of Australia,Melbourne - West,Wyndham (C),Sub-Arterial Road,No,No,0_to_16,Night
20212015,Vic,202109,Thursday,19:33:00,Multiple,,,,Car driver,Male,16,127,5,Major Cities of Australia,Melbourne - West,Wyndham (C),Sub-Arterial Road,No,No,0_to_16,Night
20213017,Qld,202109,Wednesday,20:00:00,Single,No,No,No,Car driver,Male,63,77,29,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,40_to_64,Night
20215115,WA,202109,Thursday,5:55:00,Single,No,No,No,Car driver,Male,20,127,4,,,,,No,No,17_to_25,Night
20211049,NSW,202109,Tuesday,13:15:00,Multiple,No,No,No,Car driver,Female,19,79,3,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No,17_to_25,Day
20213123,Qld,202109,Tuesday,8:00:00,Single,No,No,No,Car driver,Male,26,136,7,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Day
20211073,NSW,202109,Wednesday,6:13:00,Single,No,No,No,Motorcycle rider,Male,32,101,12,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,National or State Highway,No,No,26_to_39,Day
20214058,SA,202109,Friday,13:45:00,Multiple,No,Yes,No,Car driver,Male,77,114,44,Major Cities of Australia,Adelaide - South,Mitcham (C),National or State Highway,No,No,75_or_older,Day
20212011,Vic,202109,Friday,13:23:00,Multiple,,,,Car passenger,Male,85,0,43,Major Cities of Australia,Melbourne - South East,Casey (C),Access Road,No,No,75_or_older,Day
20212011,Vic,202109,Friday,13:23:00,Multiple,,,,Car driver,Female,84,52,43,Major Cities of Australia,Melbourne - South East,Casey (C),Access Road,No,No,75_or_older,Day
20215028,WA,202109,Thursday,19:00:00,Multiple,No,No,No,Pedestrian,Male,90,0,45,,,,,No,No,75_or_older,Night
20211068,NSW,202109,Tuesday,21:50:00,Single,No,No,No,Car passenger,Male,10,0,5,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,0_to_16,Night
20213043,Qld,202109,Friday,23:00:00,Single,No,No,No,Pedestrian,Male,19,0,3,Inner Regional Australia,Gold Coast,Scenic Rim (R),Local Road,No,No,17_to_25,Night
20211140,NSW,202109,Wednesday,20:00:00,Single,No,No,No,Pedestrian,Male,38,0,13,Major Cities of Australia,Capital Region,Queanbeyan-Palerang Regional,Arterial Road,No,No,26_to_39,Night
20215094,WA,202109,Thursday,22:01:00,Single,No,No,No,Car passenger,Male,17,0,2,,,,,No,No,17_to_25,Night
20213026,Qld,202109,Wednesday,23:00:00,Multiple,No,No,No,Car driver,Female,37,119,13,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night
20213026,Qld,202109,Wednesday,23:00:00,Multiple,No,No,No,Car passenger,Male,39,20,14,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night
20216013,Tas,202109,Tuesday,12:58:00,Single,No,No,No,Pedestrian,Female,4,0,2,Inner Regional Australia,Hobart,Glenorchy (C),Sub-Arterial Road,No,No,0_to_16,Day
20211052,NSW,202109,Monday,8:30:00,Single,No,No,Yes,Pedestrian,Male,39,0,11,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,No,No,26_to_39,Day
20214067,SA,202109,Friday,14:45:00,Single,No,No,No,Pedestrian,Female,90,0,45,Major Cities of Australia,Adelaide - West,Charles Sturt (C),Arterial Road,No,No,75_or_older,Day
20212153,Vic,202108,Sunday,1:00:00,Single,No,No,No,Car driver,Male,36,66,12,Major Cities of Australia,Melbourne - North East,Mitchell (S),Local Road,No,No,26_to_39,Night
20211083,NSW,202108,Friday,18:01:00,Multiple,No,No,Yes,Car driver,Male,35,105,12,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,26_to_39,Night
20216009,Tas,202108,Sunday,1:30:00,Multiple,No,No,No,Car driver,Male,-999,75,40,Outer Regional Australia,South East,Derwent Valley (M),Arterial Road,No,No,40_to_64,Night
20215095,WA,202108,Saturday,19:18:00,Single,No,No,No,Car driver,Male,43,75,12,,,,,No,No,40_to_64,Night
20211180,NSW,202108,Friday,20:50:00,Multiple,No,No,No,Car driver,Male,49,17,15,Major Cities of Australia,Sydney - City and Inner South,Bayside,Local Road,No,No,40_to_64,Night
20215078,WA,202108,Saturday,4:45:00,Single,No,No,No,Car driver,Male,20,128,5,,,,,No,No,17_to_25,Night
20216020,Tas,202108,Saturday,19:14:00,Multiple,No,No,No,Motorcycle rider,Male,45,108,14,Inner Regional Australia,Launceston and North East,Launceston (C),Local Road,No,No,40_to_64,Night
20211087,NSW,202108,Saturday,18:00:00,Multiple,No,No,No,Car driver,Male,34,115,11,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Arterial Road,No,No,26_to_39,Night
20213184,Qld,202108,Saturday,23:00:00,Single,No,No,No,Car driver,Male,31,46,12,Inner Regional Australia,Gold Coast,Scenic Rim (R),Sub-Arterial Road,No,No,26_to_39,Night
20211046,NSW,202108,Saturday,0:05:00,Single,No,No,No,Car driver,Male,20,71,2,Remote Australia,Central West,Lachlan,Arterial Road,No,No,17_to_25,Night
20213019,Qld,202108,Thursday,19:00:00,Single,No,No,No,Car driver,Male,46,86,13,Very Remote Australia,Queensland - Outback,Quilpie (S),Sub-Arterial Road,No,No,40_to_64,Night
20212153,Vic,202108,Sunday,1:00:00,Single,No,No,No,Car passenger,Female,46,0,11,Major Cities of Australia,Melbourne - North East,Mitchell (S),Local Road,No,No,40_to_64,Night
20213127,Qld,202108,Thursday,18:00:00,Multiple,No,No,No,Motorcycle rider,Male,59,128,26,Inner Regional Australia,Logan - Beaudesert,Scenic Rim (R),Sub-Arterial Road,No,No,40_to_64,Night
20213033,Qld,202108,Saturday,11:00:00,Single,No,No,No,Car driver,Male,27,68,5,Major Cities of Australia,Moreton Bay - North,Moreton Bay (R),Collector Road,No,No,26_to_39,Day
20215038,WA,202108,Sunday,10:57:00,Single,No,No,No,Car passenger,Female,22,0,4,,,,,No,No,17_to_25,Day
20213175,Qld,202108,Sunday,14:00:00,Single,No,No,No,Motorcycle rider,Female,40,118,13,Outer Regional Australia,Wide Bay,South Burnett (R),Collector Road,No,No,40_to_64,Day
20215083,WA,202108,Friday,14:30:00,Multiple,No,No,Yes,Car driver,Female,69,90,26,,,,,No,No,65_to_74,Day
20213097,Qld,202108,Sunday,14:00:00,Single,No,No,No,Car driver,Female,60,103,27,Inner Regional Australia,Central Queensland,Rockhampton (R),Local Road,No,No,40_to_64,Day
20215087,WA,202108,Friday,18:27:00,Multiple,No,No,No,Pedestrian,Male,71,0,42,,,,,No,No,65_to_74,Night
20213185,Qld,202108,Saturday,12:00:00,Multiple,No,No,No,Car driver,Male,20,124,63,Outer Regional Australia,Townsville,Townsville (C),National or State Highway,No,No,65_to_74,Day
20212053,Vic,202108,Friday,19:48:00,Multiple,No,No,No,Car driver,Male,77,75,41,Major Cities of Australia,Melbourne - South East,Monash (C),Arterial Road,No,No,75_or_older,Night
20211187,NSW,202108,Saturday,15:25:00,Single,No,No,No,Motorcycle rider,Male,18,49,1,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Local Road,No,No,17_to_25,Day
20212086,Vic,202108,Sunday,11:37:00,Single,No,No,No,Motorcycle rider,Male,26,127,8,Major Cities of Australia,Melbourne - Outer East,Knox (C),National or State Highway,No,No,26_to_39,Day
20212072,Vic,202108,Sunday,12:00:00,Multiple,No,No,No,Car driver,Male,85,52,41,Inner Regional Australia,Latrobe - Gippsland,Baw Baw (S),Arterial Road,No,No,75_or_older,Day
20215013,WA,202108,Wednesday,15:48:00,Multiple,No,Yes,No,Car driver,Female,37,37,15,,,,,No,No,26_to_39,Day
20213163,Qld,202108,Friday,6:00:00,Single,No,No,No,Car passenger,Male,29,20,4,Outer Regional Australia,Wide Bay,South Burnett (R),National or State Highway,No,No,26_to_39,Day
20213098,Qld,202108,Monday,12:00:00,Single,No,No,No,Car driver,Male,29,85,5,Remote Australia,Townsville,Charters Towers (R),Local Road,No,No,26_to_39,Day
20212014,Vic,202108,Friday,9:56:00,Multiple,No,No,No,Car driver,Female,35,124,13,Major Cities of Australia,Melbourne - Inner,Melbourne (C),Arterial Road,No,No,26_to_39,Day
20213071,Qld,202108,Sunday,5:00:00,Multiple,No,No,Yes,Car passenger,Male,18,20,3,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac (R),National or State Highway,No,No,17_to_25,Night
20215040,WA,202108,Monday,10:44:00,Multiple,No,Yes,No,Motorcycle rider,Male,40,79,12,,,,,No,No,40_to_64,Day
20214057,SA,202108,Sunday,5:50:00,Multiple,No,Yes,No,Car driver,Male,18,124,2,Outer Regional Australia,South Australia - South East,Loxton Waikerie (DC),National or State Highway,No,No,17_to_25,Night
20211007,NSW,202108,Wednesday,13:35:00,Single,No,No,No,Car driver,Male,58,115,28,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,National or State Highway,No,No,40_to_64,Day
20212129,Vic,202108,Monday,11:46:00,Multiple,No,No,No,Car driver,Male,24,100,5,Outer Regional Australia,Latrobe - Gippsland,Wellington (S),Local Road,No,No,17_to_25,Day
20216015,Tas,202108,Friday,15:20:00,Multiple,No,No,No,Car passenger,Male,45,20,14,Outer Regional Australia,Launceston and North East,West Tamar (M),National or State Highway,No,No,40_to_64,Day
20211019,NSW,202108,Tuesday,6:00:00,Multiple,No,Yes,Yes,Car driver,Male,48,125,14,Inner Regional Australia,Sydney - Outer South West,Wollondilly,National or State Highway,No,No,40_to_64,Day
20212068,Vic,202108,Friday,10:15:00,Single,No,No,No,Car driver,Female,51,92,26,Outer Regional Australia,Warrnambool and South West,Corangamite (S),Sub-Arterial Road,No,No,40_to_64,Day
20213098,Qld,202108,Monday,12:00:00,Single,No,No,No,Car passenger,Male,40,0,14,Remote Australia,Townsville,Charters Towers (R),Local Road,No,No,40_to_64,Day
20213049,Qld,202108,Friday,14:00:00,Single,No,No,No,Motorcycle rider,Male,51,75,27,Major Cities of Australia,Brisbane - East,Redland (C),Local Road,No,No,40_to_64,Day
20215104,WA,202108,Monday,4:00:00,Single,No,No,No,Car driver,Male,27,89,6,,,,,No,No,26_to_39,Night
20213138,Qld,202108,Monday,10:00:00,Single,No,No,Yes,Car driver,Male,40,112,11,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba (R),National or State Highway,No,No,40_to_64,Day
20211116,NSW,202108,Tuesday,14:30:00,Single,No,No,No,Car driver,Male,24,43,8,Outer Regional Australia,Far West and Orana,Broken Hill,Access Road,No,No,17_to_25,Day
20218003,ACT,202108,Tuesday,11:00:00,Multiple,No,No,No,Pedal cyclist,Male,70,30,30,,,,,No,No,65_to_74,Day
20214032,SA,202108,Tuesday,16:11:00,Single,No,No,No,Car driver,Male,68,60,29,Inner Regional Australia,South Australia - South East,Mid Murray (DC),Sub-Arterial Road,No,No,65_to_74,Day
20213117,Qld,202108,Monday,16:00:00,Multiple,No,No,No,Pedal cyclist,Male,70,30,29,Major Cities of Australia,Gold Coast,Gold Coast (C),Sub-Arterial Road,No,No,65_to_74,Day
20211123,NSW,202108,Monday,14:33:00,Single,No,Yes,No,Car passenger,Male,70,0,30,Inner Regional Australia,Riverina,Wagga Wagga,Sub-Arterial Road,No,No,65_to_74,Day
20213112,Qld,202108,Monday,13:00:00,Multiple,No,No,No,Car driver,Male,67,140,29,Outer Regional Australia,Cairns,Douglas (S),National or State Highway,No,No,65_to_74,Day
20211036,NSW,202108,Tuesday,9:10:00,Single,No,No,No,Car driver,Male,18,124,4,Outer Regional Australia,Mid North Coast,Kempsey,Local Road,No,No,17_to_25,Day
20212157,Vic,202108,Tuesday,5:12:00,Multiple,No,No,No,Car driver,Male,50,113,12,Major Cities of Australia,Melbourne - West,Hobsons Bay (C),National or State Highway,No,No,40_to_64,Night
20212014,Vic,202108,Friday,9:56:00,Multiple,No,No,No,Car passenger,Female,8,0,3,Major Cities of Australia,Melbourne - Inner,Melbourne (C),Arterial Road,No,No,0_to_16,Day
20213096,Qld,202108,Monday,10:00:00,Multiple,No,No,No,Car passenger,Female,79,0,42,Major Cities of Australia,Logan - Beaudesert,Logan (C),Local Road,No,No,75_or_older,Day
20215038,WA,202108,Sunday,10:57:00,Single,No,No,No,Car driver,Male,24,121,7,,,,,No,No,17_to_25,Day
20212132,Vic,202108,Wednesday,20:30:00,Single,No,No,No,Car driver,Male,63,141,29,Outer Regional Australia,North West,Mildura (RC),Arterial Road,No,No,40_to_64,Night
20211033,NSW,202108,Wednesday,5:55:00,Multiple,No,No,Yes,Car driver,Male,64,109,29,Outer Regional Australia,Central West,Forbes,National or State Highway,No,No,40_to_64,Night
20213146,Qld,202108,Thursday,12:00:00,Single,No,No,No,Car passenger,Male,85,0,45,Remote Australia,Townsville,Charters Towers (R),Sub-Arterial Road,No,No,75_or_older,Day
20213053,Qld,202108,Monday,16:00:00,Single,No,No,No,Car passenger,Female,83,20,44,Outer Regional Australia,Wide Bay,Gympie (R),National or State Highway,No,No,75_or_older,Day
20211044,NSW,202108,Wednesday,17:20:00,Multiple,No,No,No,Car driver,Female,83,127,43,Inner Regional Australia,New England and North West,Armidale Regional,Local Road,No,No,75_or_older,Day
20212125,Vic,202108,Thursday,7:52:00,Multiple,No,No,No,Car driver,Female,83,94,43,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula (S),Local Road,No,No,75_or_older,Day
20216015,Tas,202108,Friday,15:20:00,Multiple,No,No,No,Car passenger,Female,75,20,43,Outer Regional Australia,Launceston and North East,West Tamar (M),National or State Highway,No,No,75_or_older,Day
20217004,NT,202108,Friday,15:30:00,Single,No,No,No,Car passenger,Female,29,0,5,Very Remote Australia,Northern Territory - Outback,MacDonnell (R),Sub-Arterial Road,No,No,26_to_39,Day
20211109,NSW,202108,Friday,3:30:00,Multiple,No,No,Yes,Car driver,Female,41,88,12,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,40_to_64,Night
20211109,NSW,202108,Friday,3:30:00,Multiple,No,No,Yes,Car driver,Male,52,81,28,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,40_to_64,Night
20212128,Vic,202108,Thursday,15:52:00,Single,No,No,No,Car passenger,Male,16,0,3,Inner Regional Australia,Warrnambool and South West,Moyne (S),Local Road,No,No,0_to_16,Day
20212128,Vic,202108,Thursday,15:52:00,Single,No,No,No,Car passenger,Female,19,0,4,Inner Regional Australia,Warrnambool and South West,Moyne (S),Local Road,No,No,17_to_25,Day
20217019,NT,202108,Thursday,18:20:00,Multiple,No,No,No,Motorcycle rider,Male,50,76,14,Remote Australia,Northern Territory - Outback,Alice Springs (T),Sub-Arterial Road,No,No,40_to_64,Night
20213074,Qld,202108,Monday,20:00:00,Single,No,No,No,Car driver,Male,69,90,28,Major Cities of Australia,Gold Coast,Gold Coast (C),Sub-Arterial Road,No,No,65_to_74,Night
20212002,Vic,202108,Tuesday,17:37:00,Single,No,No,No,Car driver,Male,20,100,2,Inner Regional Australia,Latrobe - Gippsland,Latrobe (C) (Vic.),Arterial Road,No,No,17_to_25,Day
20213125,Qld,202108,Wednesday,6:00:00,Multiple,No,Yes,No,Motorcycle rider,Male,25,73,6,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,17_to_25,Day
