Month,Transaction,Smartcard.Type,Action.Reason,Number.of.transactions
2019-08,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,45
2019-09,Replace Smartcard,Industry Authority Card,Lost,23
2019-09,Replace Smartcard,Driver Licence Card,Destroyed,127
2019-09,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,48
2019-08,Replace Smartcard,Marine Licence Ind Card,Managers Approval,7
2019-09,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,77
2019-09,Replace Smartcard,Industry Authority Card,Condition Change,6
2019-08,Replace Smartcard,Industry Authority Card,Damaged,2
2019-09,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,8
2019-08,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,3
2019-09,Replace Smartcard,Industry Authority Card,Stolen,8
2019-09,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,12
2019-09,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,1
2019-10,Replace Smartcard,Driver Licence Card,Lost,5261
2019-10,Replace Smartcard,Driver Licence Card,Change Customer Details,2326
2019-10,Replace Smartcard,Industry Authority Card,Managers Approval,26
2019-10,Replace Smartcard,Driver Licence Card,Disaster Relief,1
2019-11,Replace Smartcard,Photo Identification Card,Faulty,5
2019-11,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,52
2019-11,Replace Smartcard,Industry Authority Card,Lost,34
2019-11,Replace Smartcard,Photo Identification Card,Damaged,22
2019-11,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,6
2019-11,Replace Smartcard,Driver Licence Card,Merged,2
2019-12,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,39
2019-12,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,68
2019-12,Replace Smartcard,Photo Identification Card,Expired,7
2019-12,Replace Smartcard,Photo Identification Card,Stolen,73
2019-12,Replace Smartcard,Industry Authority Card,Stolen,13
2019-12,Replace Smartcard,Marine Licence Ind Card,Managers Approval,3
2019-12,Replace Smartcard,Photo Identification Card,Destroyed,2
2019-12,Replace Smartcard,Marine Licence Ind Card,Destroyed,1
2020-02,Replace Smartcard,Industry Authority Card,Lost,29
2020-02,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,80
2020-02,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,40
2020-02,Replace Smartcard,Photo Identification Card,Destroyed,11
2020-02,Replace Smartcard,Industry Authority Card,Managers Approval,12
2020-02,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,2
2020-03,Replace Smartcard,Photo Identification Card,Change Customer Details,120
2020-04,Replace Smartcard,Driver Licence Card,Destroyed,138
2020-03,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,86
2020-04,Replace Smartcard,Industry Authority Card,Change Customer Details,26
2020-03,Replace Smartcard,Industry Authority Card,Managers Approval,17
2020-03,Replace Smartcard,Industry Authority Card,Lost,29
2020-03,Replace Smartcard,Photo Identification Card,Managers Approval,17
2020-03,Replace Smartcard,Marine Licence Ind Card,Managers Approval,3
2020-03,Replace Smartcard,Photo Identification Card,Destroyed,8
2020-03,Replace Smartcard,Marine Licence Ind Card,Condition Change,2
2020-05,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,28
2020-06,Replace Smartcard,Driver Licence Card,Lost,4427
2020-06,Replace Smartcard,Industry Authority Card,Change Customer Details,34
2020-06,Replace Smartcard,Photo Identification Card,Damaged,37
2020-06,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,14
2020-06,Replace Smartcard,Marine Licence Ind Card,Stolen,2
2020-05,Replace Smartcard,Marine Licence Ind Card,Expired,1
2020-07,Replace Smartcard,Driver Licence Card,Managers Approval,192
2020-07,Replace Smartcard,Photo Identification Card,Damaged,39
2020-07,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,46
2020-08,Replace Smartcard,Photo Identification Card,Lost,625
2020-08,Replace Smartcard,Photo Identification Card,Expired,19
2020-08,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,17
2020-08,Replace Smartcard,Marine Licence Ind Card,Managers Approval,2
2020-08,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,5
2020-09,Replace Smartcard,Photo Identification Card,Change Customer Details,198
2020-09,Replace Smartcard,Driver Licence Card,Managers Approval,212
2020-08,Replace Smartcard,Industry Authority Card,Stolen,2
2020-09,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,70
2020-09,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,77
2020-09,Replace Smartcard,Industry Authority Card,Change Customer Details,30
2020-09,Replace Smartcard,Industry Authority Card,Managers Approval,17
2020-09,Replace Smartcard,Marine Licence Ind Card,Lost,9
2020-09,Replace Smartcard,Driver Licence Card,Faulty,13
2020-08,Replace Smartcard,Marine Licence Ind Card,Stolen,1
2020-08,Replace Smartcard,Marine Licence Ind Card,Condition Change,2
2020-10,Replace Smartcard,Driver Licence Card,Managers Approval,172
2020-10,Replace Smartcard,Driver Licence Card,Faulty,15
2020-10,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,25
2020-10,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2020-10,Replace Smartcard,Marine Licence Ind Card,Faulty,1
2020-11,Replace Smartcard,Driver Licence Card,Lost,5748
2020-11,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,62
2020-11,Replace Smartcard,Photo Identification Card,Expired,19
2020-11,Replace Smartcard,Marine Licence Ind Card,Expired,2
2020-12,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,75
2020-12,Replace Smartcard,Marine Licence Ind Card,Managers Approval,9
2020-12,Replace Smartcard,Industry Authority Card,Lost,35
2021-01,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,33
2020-12,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,6
2021-01,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,57
2021-01,Replace Smartcard,Photo Identification Card,Expired,31
2021-01,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,18
2020-12,Replace Smartcard,Photo Identification Card,Merged,1
2020-12,Replace Smartcard,Photo Identification Card,Destroyed,5
2011-06,Replace Smartcard,Driver Licence Card,Change Customer Details,815
2010-11,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,49
2011-06,Replace Smartcard,Driver Licence Card,Condition Change,477
2011-03,Replace Smartcard,Driver Licence Card,Stolen,40
2011-01,Replace Smartcard,Driver Licence Card,Damaged,4
2011-05,Replace Smartcard,Industry Authority Card,Managers Approval,11
2010-12,Replace Smartcard,Industry Authority Card,Managers Approval,1
2010-11,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1
2011-04,Replace Smartcard,Driver Licence Card,Destroyed,6
2011-06,Replace Smartcard,Photo Identification Card,Stolen,44
2011-05,Replace Smartcard,Photo Identification Card,Destroyed,5
2011-06,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,3
2011-06,Replace Smartcard,Photo Identification Card,Faulty,4
2011-01,Replace Smartcard,Driver Licence Card,Disaster Relief,1
2011-05,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,1
2010-11,Replace Smartcard,Photo Identification Card,Managers Approval,1
2011-02,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,4
2011-05,Replace Smartcard,Photo Identification Card,Expired,1
2011-06,Replace Smartcard,Marine Licence Ind Card,Damaged,1
2011-07,Replace Smartcard,Driver Licence Card,Managers Approval,129
2011-07,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,66
2011-07,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,10
2011-07,Replace Smartcard,Photo Identification Card,Destroyed,5
2011-08,Replace Smartcard,Driver Licence Card,Lost,2907
2011-08,Replace Smartcard,Driver Licence Card,Condition Change,935
2011-08,Replace Smartcard,Industry Authority Card,Lost,36
2011-08,Replace Smartcard,Marine Licence Ind Card,Lost,5
2011-08,Replace Smartcard,Driver Licence Card,Defective,13
2011-08,Replace Smartcard,Industry Authority Card,Stolen,8
2011-08,Replace Smartcard,Photo Identification Card,Merged,2
2011-08,Replace Smartcard,Industry Authority Card,Destroyed,2
2011-09,Replace Smartcard,Driver Licence Card,Disaster Relief,1
2011-09,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,1
2011-10,Replace Smartcard,Driver Licence Card,Managers Approval,256
2011-10,Replace Smartcard,Industry Authority Card,Managers Approval,446
2011-10,Replace Smartcard,Driver Licence Card,Defective,16
2011-10,Replace Smartcard,Photo Identification Card,Faulty,8
2011-10,Replace Smartcard,Marine Licence Ind Card,Managers Approval,4
2011-10,Replace Smartcard,Marine Licence Ind Card,Lost,3
2011-10,Replace Smartcard,Industry Authority Card,Damaged,4
2011-10,Replace Smartcard,Industry Authority Card,Defective,1
2011-10,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,10
2011-11,Replace Smartcard,Industry Authority Card,Faulty,31
2011-11,Replace Smartcard,Photo Identification Card,Merged,2
2011-11,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,1
2011-11,Replace Smartcard,Marine Licence Ind Card,Managers Approval,2
2011-11,Replace Smartcard,Marine Licence Ind Card,Faulty,1
2011-12,Replace Smartcard,Driver Licence Card,Managers Approval,412
2011-12,Replace Smartcard,Driver Licence Card,Lost,4359
2011-12,Replace Smartcard,Industry Authority Card,Managers Approval,36
2011-12,Replace Smartcard,Industry Authority Card,Lost,38
2011-12,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,9
2011-12,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,54
2011-12,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2011-12,Replace Smartcard,Photo Identification Card,Merged,1
2011-12,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2012-01,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,87
2012-02,Replace Smartcard,Driver Licence Card,Stolen,1343
2012-02,Replace Smartcard,Marine Licence Ind Card,Lost,5
2012-02,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,408
2012-02,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,18
2012-02,Replace Smartcard,Industry Authority Card,Transition Laminate To Smartcard,8
2012-02,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,7
2012-02,Replace Smartcard,Industry Authority Card,Disaster Relief,1
2012-02,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2012-02,Replace Smartcard,Driver Licence Card,Merged,1
2012-03,Replace Smartcard,Driver Licence Card,Stolen,1421
2012-03,Replace Smartcard,Driver Licence Card,Damaged,234
2012-03,Replace Smartcard,Industry Authority Card,Lost,35
2012-03,Replace Smartcard,Photo Identification Card,Faulty,10
2012-03,Replace Smartcard,Photo Identification Card,Stolen,122
2012-03,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,26
2012-03,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,5
2012-03,Replace Smartcard,Industry Authority Card,Condition Change,2
2012-04,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,19
2012-04,Replace Smartcard,Industry Authority Card,Change Customer Details,16
2012-04,Replace Smartcard,Marine Licence Ind Card,Lost,3
2012-04,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,1
2012-05,Replace Smartcard,Driver Licence Card,Change Customer Details,2291
2012-05,Replace Smartcard,Driver Licence Card,Faulty,405
2012-05,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,12
2012-05,Replace Smartcard,Industry Authority Card,Faulty,11
2012-05,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,10
2012-05,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,2
2012-06,Replace Smartcard,Driver Licence Card,Destroyed,52
2012-06,Replace Smartcard,Photo Identification Card,Damaged,45
2012-06,Replace Smartcard,Photo Identification Card,Stolen,112
2012-06,Replace Smartcard,Photo Identification Card,Destroyed,20
2012-06,Replace Smartcard,Photo Identification Card,Faulty,13
2012-06,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,22
2012-06,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,5
2012-06,Replace Smartcard,Driver Licence Card,Merged,1
2012-06,Replace Smartcard,Marine Licence Ind Card,Damaged,1
2012-07,Replace Smartcard,Driver Licence Card,Damaged,173
2012-07,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,179
2012-07,Replace Smartcard,Photo Identification Card,Stolen,103
2012-07,Replace Smartcard,Driver Licence Card,Faulty,331
2012-07,Replace Smartcard,Industry Authority Card,Condition Change,5
2012-07,Replace Smartcard,Photo Identification Card,Managers Approval,21
2012-07,Replace Smartcard,Industry Authority Card,Managers Approval,13
2012-07,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2012-08,Replace Smartcard,Driver Licence Card,Stolen,1329
2012-08,Replace Smartcard,Photo Identification Card,Damaged,35
2012-08,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,19
2012-09,Replace Smartcard,Driver Licence Card,Change Customer Details,2063
2012-09,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,85
2012-09,Replace Smartcard,Marine Licence Ind Card,Expired,1
2012-10,Replace Smartcard,Driver Licence Card,Faulty,293
2012-10,Replace Smartcard,Driver Licence Card,Defective,19
2012-10,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,19
2012-10,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2012-10,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,3
2012-11,Replace Smartcard,Driver Licence Card,Lost,4125
2012-11,Replace Smartcard,Photo Identification Card,Destroyed,10
2012-11,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,186
2012-11,Replace Smartcard,Photo Identification Card,Lost,555
2012-11,Replace Smartcard,Driver Licence Card,Damaged,159
2012-11,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,34
2012-11,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2012-11,Replace Smartcard,Photo Identification Card,Faulty,4
2012-11,Replace Smartcard,Marine Licence Ind Card,Faulty,1
2012-12,Replace Smartcard,Driver Licence Card,Condition Change,1263
2012-12,Replace Smartcard,Photo Identification Card,Lost,519
2012-12,Replace Smartcard,Industry Authority Card,Change Customer Details,12
2012-12,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,114
2012-12,Replace Smartcard,Photo Identification Card,Change Customer Details,147
2012-12,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,13
2012-12,Replace Smartcard,Industry Authority Card,Faulty,3
2012-12,Replace Smartcard,Industry Authority Card,Defective,1
2012-12,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,1
2012-12,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,2
2013-01,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,573
2013-01,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,162
2013-01,Replace Smartcard,Industry Authority Card,Defective,1
2013-01,Replace Smartcard,Photo Identification Card,Damaged,35
2013-01,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,13
2013-02,Replace Smartcard,Industry Authority Card,Stolen,17
2013-02,Replace Smartcard,Industry Authority Card,Disaster Relief,4
2013-02,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,5
2013-02,Replace Smartcard,Industry Authority Card,Faulty,2
2013-02,Replace Smartcard,Industry Authority Card,Condition Change,11
2013-02,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,1
2013-02,Replace Smartcard,Driver Licence Card,Merged,2
2013-03,Replace Smartcard,Driver Licence Card,Change Customer Details,1877
2013-03,Replace Smartcard,Industry Authority Card,Disaster Relief,1
2013-04,Replace Smartcard,Driver Licence Card,Change Customer Details,2048
2013-04,Replace Smartcard,Driver Licence Card,Destroyed,45
2013-04,Replace Smartcard,Photo Identification Card,Damaged,35
2013-04,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,19
2013-04,Replace Smartcard,Marine Licence Ind Card,Lost,7
2013-04,Replace Smartcard,Industry Authority Card,Condition Change,3
2013-04,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,5
2013-05,Replace Smartcard,Driver Licence Card,Destroyed,32
2013-05,Replace Smartcard,Marine Licence Ind Card,Lost,9
2013-05,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,8
2013-05,Replace Smartcard,Industry Authority Card,Condition Change,7
2013-05,Replace Smartcard,Driver Licence Card,Disaster Relief,5
2013-05,Replace Smartcard,Industry Authority Card,Stolen,15
2013-06,Replace Smartcard,Photo Identification Card,Lost,485
2013-06,Replace Smartcard,Photo Identification Card,Stolen,80
2013-06,Replace Smartcard,Marine Licence Ind Card,Managers Approval,6
2013-06,Replace Smartcard,Industry Authority Card,Managers Approval,13
2013-06,Replace Smartcard,Industry Authority Card,Condition Change,5
2013-07,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,648
2013-07,Replace Smartcard,Photo Identification Card,Expired,3
2013-07,Replace Smartcard,Photo Identification Card,Stolen,94
2013-07,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,190
2013-07,Replace Smartcard,Photo Identification Card,Managers Approval,29
2013-07,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,33
2013-07,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,29
2013-07,Replace Smartcard,Industry Authority Card,Condition Change,3
2013-08,Replace Smartcard,Driver Licence Card,Damaged,101
2013-08,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,86
2013-08,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,15
2013-08,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,2
2013-09,Replace Smartcard,Industry Authority Card,Stolen,11
2013-09,Replace Smartcard,Marine Licence Ind Card,Destroyed,1
2013-10,Replace Smartcard,Driver Licence Card,Lost,4054
2013-10,Replace Smartcard,Photo Identification Card,Managers Approval,30
2013-10,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,23
2013-10,Replace Smartcard,Industry Authority Card,Lost,40
2013-10,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,16
2013-10,Replace Smartcard,Photo Identification Card,Faulty,4
2013-10,Replace Smartcard,Photo Identification Card,Merged,2
2013-10,Replace Smartcard,Driver Licence Card,Defective,5
2013-11,Replace Smartcard,Driver Licence Card,Change Customer Details,2401
2013-11,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,52
2013-11,Replace Smartcard,Photo Identification Card,Stolen,61
2013-11,Replace Smartcard,Photo Identification Card,Expired,1
2013-11,Replace Smartcard,Marine Licence Ind Card,Faulty,1
2013-12,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,12
2013-12,Replace Smartcard,Driver Licence Card,Destroyed,49
2013-12,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,16
2013-12,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2013-12,Replace Smartcard,Marine Licence Ind Card,Damaged,1
2013-12,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,2
2014-01,Replace Smartcard,Driver Licence Card,Defective,13
2014-01,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,93
2014-01,Replace Smartcard,Industry Authority Card,Change Customer Details,25
2014-01,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,18
2014-01,Replace Smartcard,Marine Licence Ind Card,Condition Change,3
2014-01,Replace Smartcard,Photo Identification Card,Defective,1
2014-02,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,11
2014-02,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,6
2014-02,Replace Smartcard,Industry Authority Card,Change Customer Details,14
2014-02,Replace Smartcard,Marine Licence Ind Card,Managers Approval,10
2014-02,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2014-03,Replace Smartcard,Driver Licence Card,Lost,3389
2014-03,Replace Smartcard,Marine Licence Ind Card,Lost,2
2014-03,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1119
2014-03,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,5
2014-04,Replace Smartcard,Photo Identification Card,Change Customer Details,158
2014-04,Replace Smartcard,Driver Licence Card,Destroyed,30
2014-04,Replace Smartcard,Driver Licence Card,Merged,1
2014-05,Replace Smartcard,Driver Licence Card,Condition Change,2147
2014-04,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2014-05,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,141
2014-05,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,189
2014-05,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,16
2014-05,Replace Smartcard,Marine Licence Ind Card,Lost,6
2014-05,Replace Smartcard,Photo Identification Card,Defective,1
2014-06,Replace Smartcard,Driver Licence Card,Managers Approval,499
2014-06,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1019
2014-06,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,186
2014-06,Replace Smartcard,Photo Identification Card,Lost,442
2014-06,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,7
2014-06,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,8
2014-06,Replace Smartcard,Driver Licence Card,Damaged,82
2014-06,Replace Smartcard,Industry Authority Card,Change Customer Details,29
2014-06,Replace Smartcard,Industry Authority Card,Condition Change,7
2014-06,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,36
2014-06,Replace Smartcard,Marine Licence Ind Card,Managers Approval,7
2014-06,Replace Smartcard,Driver Licence Card,Defective,10
2014-06,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,3
2014-06,Replace Smartcard,Driver Licence Card,Merged,1
2014-07,Replace Smartcard,Industry Authority Card,Change Customer Details,29
2014-07,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,54
2014-07,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,22
2014-07,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,6
2014-07,Replace Smartcard,Industry Authority Card,Destroyed,2
2014-07,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,1
2014-08,Replace Smartcard,Driver Licence Card,Stolen,1003
2014-08,Replace Smartcard,Photo Identification Card,Defective,2
2014-08,Replace Smartcard,Industry Authority Card,Faulty,1
2014-08,Replace Smartcard,Photo Identification Card,Merged,1
2014-09,Replace Smartcard,Driver Licence Card,Stolen,1101
2014-09,Replace Smartcard,Driver Licence Card,Condition Change,2059
2014-09,Replace Smartcard,Photo Identification Card,Managers Approval,19
2014-09,Replace Smartcard,Photo Identification Card,Defective,3
2014-09,Replace Smartcard,Marine Licence Ind Card,Merged,2
2014-10,Replace Smartcard,Industry Authority Card,Stolen,8
2014-10,Replace Smartcard,Photo Identification Card,Managers Approval,23
2014-10,Replace Smartcard,Marine Licence Ind Card,Lost,5
2014-10,Replace Smartcard,Marine Licence Ind Card,Stolen,1
2014-10,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2014-11,Replace Smartcard,Industry Authority Card,Lost,35
2014-11,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,20
2014-11,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,6
2014-11,Replace Smartcard,Driver Licence Card,Damaged,83
2014-11,Replace Smartcard,Driver Licence Card,Destroyed,44
2014-11,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,17
2014-11,Replace Smartcard,Driver Licence Card,Defective,10
2014-11,Replace Smartcard,Driver Licence Card,Merged,2
2014-11,Replace Smartcard,Driver Licence Card,Disaster Relief,1
2014-12,Replace Smartcard,Driver Licence Card,Managers Approval,418
2014-12,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,145
2014-12,Replace Smartcard,Photo Identification Card,Managers Approval,28
2014-12,Replace Smartcard,Industry Authority Card,Change Customer Details,25
2014-12,Replace Smartcard,Industry Authority Card,Stolen,4
2014-12,Replace Smartcard,Marine Licence Ind Card,Merged,1
2015-01,Replace Smartcard,Industry Authority Card,Change Customer Details,31
2015-01,Replace Smartcard,Driver Licence Card,Destroyed,55
2015-01,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,174
2015-01,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,21
2015-01,Replace Smartcard,Industry Authority Card,Stolen,14
2015-01,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2015-01,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2015-02,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,21
2015-03,Replace Smartcard,Driver Licence Card,Condition Change,2305
2015-02,Replace Smartcard,Photo Identification Card,Defective,1
2015-03,Replace Smartcard,Driver Licence Card,Lost,3733
2015-03,Replace Smartcard,Driver Licence Card,Change Customer Details,1986
